Prefix,x,y,z,r,g,b,sem,ins
Longhua_Area13,23.297800000000002,683.1990499999999,85.48015000000001,9.7854,7.198099999999954,4.602500000000006,13.0,673.0
Longhua_Area13,-111.8525,708.6738,81.428,9.613,10.142399999999952,2.9351999999999947,11.0,676.0
Longhua_Area13,-146.17855,676.38855,81.7811,5.322299999999984,5.614499999999907,2.8870000000000005,12.0,677.0
Longhua_Area13,-153.8022,603.4392,83.29575,0.9051999999999794,0.9747999999999593,6.818100000000001,13.0,678.0
Longhua_Area13,-27.801099999999998,661.8921499999999,148.2101,233.65300000000002,249.1073,138.86679999999998,8.0,679.0
Longhua_Area13,-60.356849999999994,706.5116,81.5839,9.162100000000002,9.519200000000069,2.9723999999999933,11.0,680.0
Longhua_Area13,-69.55425,692.9330500000001,81.1588,4.163499999999999,4.082899999999995,2.069199999999995,13.0,681.0
Longhua_Area13,-109.73435,642.9340500000001,81.23705000000001,7.924500000000009,5.956700000000069,2.7121000000000066,13.0,682.0
Longhua_Area13,-152.38335,564.60905,83.25365,1.945699999999988,1.540300000000002,7.08829999999999,13.0,683.0
Longhua_Area13,-154.50725,580.93325,81.07965,2.791499999999985,2.4873000000000047,3.009299999999996,13.0,685.0
Longhua_Area13,-161.19865,584.4472000000001,80.87215,2.8218999999999994,4.686199999999985,2.3597000000000037,13.0,693.0
Longhua_Area13,-157.17265,676.58455,82.7773,15.633899999999983,16.53430000000003,4.842799999999997,13.0,694.0
Longhua_Area13,-130.033,712.85815,92.63045,55.41279999999999,56.50890000000004,25.321700000000007,8.0,770.0
Longhua_Area13,-42.55855,806.4911,92.00775,111.7191,119.73599999999999,23.945099999999996,8.0,771.0
Longhua_Area13,-98.30205,726.94245,81.12305,3.8339,3.86830000000009,2.5190999999999946,13.0,778.0
Longhua_Area13,26.198300000000003,854.42705,81.60040000000001,2.3186,2.3234999999999673,2.976399999999998,13.0,779.0
Longhua_Area13,40.91655,816.0997,81.79560000000001,5.3862999999999985,7.963200000000029,3.1258000000000123,13.0,784.0
Longhua_Area13,28.644750000000002,802.0993000000001,82.6223,15.918300000000002,16.662400000000048,4.092799999999997,12.0,785.0
Longhua_Area42,118.392,-1052.3249500000002,61.142250000000004,7.140799999999999,6.670499999999947,2.7068999999999974,13.0,19.0
Longhua_Area42,133.16565,-1053.6487,62.4889,4.18610000000001,4.621799999999894,2.7342000000000013,12.0,20.0
Longhua_Area42,106.98570000000001,-1058.0475999999999,62.79835,15.236000000000004,16.2012000000002,7.343299999999999,8.0,21.0
Longhua_Area42,200.36,-1063.9404,61.9066,5.167999999999978,6.707800000000134,2.727799999999995,13.0,22.0
Longhua_Area42,223.58135,-992.33275,61.2864,3.8293000000000177,6.333899999999971,2.4025999999999996,13.0,23.0
Longhua_Area42,221.19420000000002,-986.4911999999999,60.987,1.3311999999999955,1.8698000000000548,1.5792000000000002,13.0,24.0
Longhua_Area42,177.35399999999998,-1147.16865,81.5222,2.867199999999997,3.1204999999999927,19.824799999999996,12.0,25.0
Longhua_Area42,156.1295,-978.70425,61.93955,8.090000000000003,10.68730000000005,3.3667000000000016,13.0,26.0
Longhua_Area42,157.36535,-1027.8152,71.4096,42.6533,60.135200000000054,21.718199999999996,12.0,27.0
